bezirksname,wahlberechtigte_insgesamt,waehler,gueltige_stimmen,spd,cdu,gruene,fdp,afd,die_linke,wahlbeteiligung_prc,spd_prc,cdu_prc,gruene_prc,fdp_prc,afd_prc,die_linke_prc,others_prc
Charlottenburg-Wilmersdorf,215705,177354,175847,42036,45417,40983,7572,16182,20181,82.22,23.9,25.83,23.31,4.31,9.2,11.48,1.98
Friedrichshain-Kreuzberg,169289,139600,138247,17874,12785,42846,3184,8943,50646,82.46,12.93,9.25,30.99,2.3,6.47,36.63,1.42
Lichtenberg,196799,155397,154160,13926,27190,8108,2231,33707,52378,78.96,9.03,17.64,5.26,1.45,21.86,33.98,10.78
Marzahn-Hellersdorf,195867,149493,148205,12926,43262,6093,1871,43729,24895,76.32,8.72,29.19,4.11,1.26,29.51,16.8,10.41
Mitte,207445,161865,160822,26816,22933,40672,4586,13706,38521,78.03,16.67,14.26,25.29,2.85,8.52,23.95,8.45
Neukölln,192506,146236,144837,27266,28487,16136,2791,18893,43413,75.96,18.83,19.67,11.14,1.93,13.04,29.97,5.42
Pankow,284832,240341,237623,31751,37073,62779,6500,38090,56413,84.38,13.36,15.6,26.42,2.74,16.03,23.74,2.11
Reinickendorf,172428,134126,132350,28956,40867,17136,4737,23866,15584,77.79,21.88,30.88,12.95,3.58,18.03,11.77,0.91
Spandau,156335,118242,116660,32351,31161,9915,3774,23619,12724,75.63,27.73,26.71,8.5,3.24,20.25,10.91,2.67
Steglitz-Zehlendorf,214757,181883,180189,40355,55398,39843,7382,18539,15823,84.69,22.4,30.74,22.11,4.1,10.29,8.78,1.58
Tempelhof-Schöneberg,229238,186838,185018,37934,45573,45639,4986,20626,22399,81.5,20.5,24.63,24.67,2.69,11.15,12.11,4.25
Treptow-Köpenick,206841,169802,168680,14472,23747,8081,2961,34646,70572,82.09,8.58,14.08,4.79,1.76,20.54,41.84,8.42
