district,Number of rental offers,Medium market rental range (€ / m² / month),Lower market median (€ / m² / month),Change compared to last yr in % (lower segment),Upper market  median (€ / m² / month),Change compared to last yr in % (upper segment),All market median (€ / m² / month),Change compared to last yr in % (all segments)
Charlottenb.-Wilm.,4405,"7,46–14,29",6.92,3.4,15.51,3.4,10.21,2.7
Friedrichsh.-Kreuzb.,3694,"7,62–14,22",6.61,-1.4,15.51,11,11.04,7.5
Lichtenberg,3286,"6,93–13,19",5.9,1.7,12.66,8.4,8.97,4.5
Marzahn-Hellersd.,2837,"5,49–9,90",5.4,4.2,9.73,2.2,6.79,4.4
Mitte,5385,"8,47–16,47",7.91,2.7,15.4,4.9,10.89,3.7
Neukoelln,3485,"6,45–12,95",5.91,3.7,13.67,8.4,9.47,17.1
Pankow,3114,"7,13–13,91",6.82,5.3,14.09,9.7,9.84,7.8
Reinickendorf,2926,"6,14–10,40",5.82,5.4,10.76,7.4,7.9,5.3
Spandau,2904,"5,75–9,12",5.43,7,9.72,5.9,7.29,7.9
Steglitz-Zehlendorf,3329,"7,03–13,29",6.9,5.5,14.32,6.9,9.8,6.2
Tempelhof-Schoeneb.,3820,"6,52–12,02",6.08,3.4,13.4,8.3,8.81,8.3
Treptow-Koepenick,3219,"6,05–11,02",5.81,4.3,12.38,12.1,8.38,6.6
Berlin ,43949,"6,40–13,00",5.84,4.3,14.46,3.6,9,5.6
